Fecha y hora,Alias,Operacion,Valores,Textos
15/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
15/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada,-, 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada,-, 
16/06/2023 12:12:49,gina,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,lore,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,lore,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada,-, 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada,-,
16/06/2023 12:12:49,gina,Modificacion imagen Clasificada, ,  
17/06/2023 12:12:49,lore,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,lore,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada,-, 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada,-, 
11/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,gina,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,lore,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,lore,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada,-, 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada,-, 
11/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,gina,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,lore,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,lore,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,tintono,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada,-, 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada,-, 
11/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,gina,Modificacion imagen Clasificada, , 
17/06/2023 12:12:49,lore,Modificacion imagen Clasificada, , 
11/06/2023 12:12:45,lore,Modificacion imagen Clasificada, , 
17/06/2023 12:12:48,lore,Modificacion imagen Clasificada, , 
13/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
12/06/2023 12:12:48,tintono,Modificacion imagen Clasificada, , 
16/06/2023 12:12:49,tintono,Modificacion imagen Clasificada, , 
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
15/06/2023 19:35:21,marti,Generacion de collage,"['gardfield.png', 'cara.png', 'messi.png']",lll
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
13/06/2023 19:35:46,marti,Generacion de collage,"['gardfield.png', 'gokuss3.png', 'goten.png', 'gardfield.png']",Collage
12/06/2023 20:06:01,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:01,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:01,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:01,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:01,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:01,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
12/06/2023 20:06:13,fede,Generacion de meme,lisa (1 text box),['Html no es programar']
06/07/2023 23:18:55,fede,Generacion de collage,"['gokuss3.png', 'gardfield.png']",Gogarfield
06/07/2023 23:44:59,fede,Generacion de meme,Si / No (2 text boxes),"['dlknadlfk', 'dñlsfañfm']"
07/07/2023 01:42:10,fede,Generacion de meme,Winnie the pooh (3 text boxes),"['te', 'tete', 'tetete']"
07/07/2023 01:44:57,fede,Generacion de meme,Winnie the pooh (3 text boxes),[]
07/07/2023 01:45:36,fede,cambios en los directorios de imagenes,,
07/07/2023 01:46:27,fede,Generacion de meme,lisa (1 text box),[]
07/07/2023 15:04:18,facussssxxxx,Modificacion imagen Clasificada,,
08/07/2023 13:23:38,fede,Generacion de collage,"['ardilla.png', 'cara.png']",jjjjj
08/07/2023 13:25:14,fede,Generacion de collage,"['gokuss3.png', 'messi.png']",messiiz
08/07/2023 14:16:04,fede,Generacion de collage,"['cara.png', 'gardfield.png']",jdjdjsidjs
08/07/2023 22:27:46,fede,Generacion de collage,"['cara.png', 'gardfield.png']",
08/07/2023 22:30:47,fede,Generacion de collage,"['charmander.png', 'gokuss3.png']",
10/07/2023 09:46:41,fede,Generacion de collage,"['gardfield.png', 'mike.png']",hiihi
11/07/2023 19:04:09,facussssxxxx,Modificacion de perfil,,
11/07/2023 20:33:44,fede,Generacion de meme,lisa (1 text box),['TODO ESTE MALDITO SISTEMA ESTA MAL']
